,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
,,4310ae70-40ab-44a4-952e-a4d8f5546969,6199bcda-26a8-4e2c-bdda-5327607f51b1,0201169e-161a-4e6b-bec9-b531fa6a1f73,2cdf923e-6e37-4456-aff0-b8448058c047,75466d14-25d5-4881-b9f6-d8f6c600e02f,6296e038-4ca8-4c32-a8c9-e490ae4ec4cc,b9f9a33b-483f-4f8f-840b-55c84e709afb,0e9887ab-00ba-47bd-b6c8-7815775045df,e7e5f088-081d-4aac-90f4-7dc96426f5d4,8587b7a4-dfda-482e-8c20-0335b9a04e91,97de9be0-d973-4b48-a75c-9428ba58d9ea,b3286667-8fb8-4d87-940c-007da95bb8bc,b67cba47-08b4-4f4b-aa8f-bf5769145252,725727eb-fa7e-4642-8796-3570646ed11b,e2f436f0-2080-4969-864a-a5d4e75d1aee
pie.app.material_preview.error,Unable to fetch lesson materials.,Unable to fetch lesson materials.,سبق کے مواد حاصل کرنے میں ناکام۔,Nu se pot prelua materialele lecției.,قادر به دریافت مواد درسی نیست.,Impossible de récupérer les matériaux de la leçon.,पाठ सामग्री प्राप्त करने में असमर्थ।,غير قادر على جلب مواد الدرس.,ਪਾਠ ਸਮੱਗਰੀ ਪ੍ਰਾਪਤ ਕਰਨ ਵਿੱਚ ਅਸਮਰੱਥ।,No se pueden obtener los materiales de la lección.,Lektion Materialien konnten nicht abgerufen werden.,レッスン教材を取得できません。,수업 자료를 가져올 수 없습니다.,Не вдалося отримати матеріали уроку.,د درس مواد ترلاسه کولو کې پاتې راغلی.,无法获取课程材料。
label.text.choose_ticket,Choose your preferred ticket,Choose your preferred ticket,اپنی پسندیدہ ٹکٹ کا انتخاب کریں۔,Alegeți biletul preferat.,بلیط مورد نظر خود را انتخاب کنید,Choisissez votre billet préféré,अपना पसंदीदा टिकट चुनें,اختر تذكرتك المفضلة,ਆਪਣੀ ਪਸੰਦੀਦਾ ਟਿਕਟ ਚੁਣੋ,Elige tu boleto preferido,Wählen Sie Ihr bevorzugtes Ticket,お好みのチケットを選択してください,선호하는 티켓을 선택하세요,Виберіть свій улюблений квиток,خپل غوره ټکټ وټاکئ,选择您偏好的票务类型
global.years,year(s),year(s),سال,an(i),سال(ها),année(s),वर्ष,سنة/سنوات,ਸਾਲ,año(s),Jahr(e),年,년,рік(и),کال(ونه),年
reward.shareLinkedin.note,"To learn how to share your certificate/badge on LinkedIn, refer to this","To learn how to share your certificate/badge on LinkedIn, refer to this",اپنا سرٹیفکیٹ/بیج لنکڈ ان پر شیئر کرنے کا طریقہ سیکھنے کے لیے، اس کا حوالہ دیں,"Pentru a învăța cum să îți împărtășești certificatul/insigna pe LinkedIn, consultă acest",برای یادگیری نحوه به اشتراک‌گذاری گواهینامه/نشان خود در لینکدین، به این مراجعه کنید.,"Pour apprendre comment partager votre certificat/badge sur LinkedIn, référez-vous à ceci","अपने प्रमाणपत्र/बैज को LinkedIn पर साझा करने का तरीका जानने के लिए, इसे देखें",لتعلم كيفية مشاركة شهادتك/شارتك على لينكدإن، يرجى الرجوع إلى هذا,"ਲਿੰਕਡਇਨ 'ਤੇ ਆਪਣੇ ਸਰਟੀਫਿਕੇਟ/ਬੈਜ ਨੂੰ ਸਾਂਝਾ ਕਰਨ ਦਾ ਤਰੀਕਾ ਸਿੱਖਣ ਲਈ, ਇਸ ਨੂੰ ਵੇਖੋ","Para aprender cómo compartir tu certificado/insignia en LinkedIn, consulta esto","Um zu erfahren, wie Sie Ihr Zertifikat/Abzeichen auf LinkedIn teilen können, lesen Sie dies",LinkedInで証明書/バッジを共有する方法については、こちらをご参照ください,LinkedIn에서 인증서/배지를 공유하는 방법을 배우려면 여기를 참조하세요,"Щоб дізнатися, як поділитися своїм сертифікатом/значком на LinkedIn, зверніться до цього",د دې په اړه زده کړه وکړئ چې څنګه خپل سند/بیج په LinkedIn کې شریک کړئ,要了解如何在 LinkedIn 上分享您的证书/徽章，请参考此内容
pie.screenshare.you_sharing_Screen,You're sharing screen,You're sharing screen,آپ اسکرین شیئر کر رہے ہیں۔,Partajezi ecranul,در حال اشتراک‌گذاری صفحه هستید,Vous partagez l'écran,आप स्क्रीन साझा कर रहे हैं,أنت تشارك الشاشة,ਤੁਸੀਂ ਸਕਰੀਨ ਸਾਂਝਾ ਕਰ ਰਹੇ ਹੋ,Estás compartiendo pantalla,Sie teilen den Bildschirm,画面を共有しています,화면을 공유 중입니다,Ви ділитеся екраном,تاسو سکرین شریکوئ,您正在共享屏幕
pie.test.answered_correctly,Answered Correctly,Answered Correctly,درست جواب دیا,Răspuns corect,پاسخ صحیح داده شد,Répondu correctement,सही उत्तर दिया,تمت الإجابة بشكل صحيح,ਸਹੀ ਜਵਾਬ ਦਿੱਤਾ,Respondido Correctamente,Richtig beantwortet,正解しました,정답,Відповіли правильно,په سمه توګه ځواب ورکړل شو,回答正确
pie.test.wrong,Wrong,Wrong,غلط,Greșit,اشتباه,Faux,गलत,خطأ,ਗਲਤ,Incorrecto,Falsch,間違い,오답,Неправильно,غلط,错误
coursemember.status.privatecourse.request.rejected_message,Your request to access this course's content has been rejected.,Your request to access this course's content has been rejected.,آپ کی اس کورس کے مواد تک رسائی کی درخواست مسترد کر دی گئی ہے۔,Cererea ta de a accesa conținutul acestui curs a fost respinsă.,درخواست شما برای دسترسی به محتوای این دوره رد شده است.,Votre demande d'accès au contenu de ce cours a été rejetée.,इस पाठ्यक्रम की सामग्री तक पहुँचने के आपके अनुरोध को अस्वीकार कर दिया गया है।,تم رفض طلبك للوصول إلى محتوى هذه الدورة.,ਤੁਹਾਡੀ ਇਸ ਕੋਰਸ ਦੀ ਸਮੱਗਰੀ ਤੱਕ ਪਹੁੰਚ ਦੀ ਬੇਨਤੀ ਰੱਦ ਕਰ ਦਿੱਤੀ ਗਈ ਹੈ।,Tu solicitud para acceder al contenido de este curso ha sido rechazada.,Ihr Antrag auf Zugriff auf die Inhalte dieses Kurses wurde abgelehnt.,このコースのコンテンツへのアクセスリクエストが拒否されました。,이 과정의 콘텐츠에 대한 접근 요청이 거부되었습니다.,Ваш запит на доступ до вмісту цього курсу було відхилено.,ستاسو غوښتنه د دې کورس مینځپانګې ته د لاسرسي لپاره رد شوې ده.,您访问此课程内容的请求已被拒绝。
global.powered_by,Powered by,Powered by,کے ذریعے تقویت یافتہ,Alimentat de,توسط پشتیبانی می‌شود از,Propulsé par,द्वारा संचालित,مدعوم من,ਵੱਲੋਂ ਚਲਾਇਆ ਗਿਆ,Desarrollado por,Bereitgestellt von,提供元,제공:,Працює на,چلول شوی د,由...驱动
